State/UT,SubCenters,PHCs,CHCs,ANM/Health_Worker_Female,Doctors,Specialists,Radiographers,Pharmacists,LabTechnicians,NursingStaff
Andhra Pradesh,7437,1145,140,11815,1715,237,40,1016,817,2861
Arunachal Pradesh,385,143,63,689,116,4,17,101,113,617
Assam,4643,946,177,11502,1925,136,90,1779,1409,3369
Bihar,9949,1899,150,24228,2085,82,1,287,611,1630
Chhattisgarh,5205,792,170,6808,321,61,161,1003,844,2618
Goa,219,24,5,250,56,5,7,41,30,135
Gujarat,9166,1476,362,9168,2186,118,192,1675,1729,4218
Haryana,2604,379,115,4606,542,15,54,430,356,2110
Himachal Pradesh,2089,586,87,1845,486,5,24,293,78,404
Jharkhand,3848,298,171,6325,336,66,59,241,264,1190
Karnataka,9758,2127,198,8462,2111,465,167,1973,1469,3511
Kerala,5380,848,227,7504,1531,35,0,1299,372,2427
Madhya Pradesh,10226,1199,309,11824,1053,104,214,1383,1021,2816
Maharashtra,10668,1828,364,21753,2951,485,107,1825,1436,2698
Manipur,490,90,23,1044,208,3,56,161,75,430
Meghalaya,477,118,28,1173,149,4,18,171,174,751
Mizoram,370,59,9,699,60,0,5,56,86,205
Nagaland,433,126,21,1008,133,8,3,117,96,381
Odisha,6688,1288,377,9187,813,236,66,1778,632,2568
Punjab,2950,416,89,4530,562,93,139,722,551,1806
Rajasthan,13512,2082,571,15425,1932,455,343,1224,1893,8889
Sikkim,176,29,2,260,41,0,4,15,35,73
Tamil Nadu,8713,1422,385,9983,1777,179,92,2043,1064,5888
Telangana,4744,636,85,7932,1213,258,44,442,647,2097
Tripura,972,108,18,664,216,2,11,163,120,636
Uttarakhand,1847,257,67,1825,269,27,5,304,63,329
Uttar Pradesh,20782,2936,679,29082,3180,484,82,2883,963,18504
West Bengal,10357,908,348,18997,810,71,182,1411,785,5811
A& N Islands,124,22,4,336,34,0,0,49,19,193
Chandigarh,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,71,9,2,137,12,0,2,14,17,51
Daman & Diu,23,4,0,52,3,0,0,4,4,11
Delhi,12,5,0,24,5,0,0,4,2,0
Jammu & Kashmir,3025,622,84,4908,919,242,226,1235,901,1513
Ladakh,-,-,-,-,-,-,-,-,-,-
Lakshadweep,14,4,3,47,8,0,5,16,13,54
Puducherry,54,24,2,128,41,1,3,46,26,182
All India Total,157411,24855,5335,234220,29799,3881,2419,26204,18715,80976
